מזהה,סוג פרק,שם הדמות/הנושא,שנים/תקופה,אזור/מרחב,תקופה,תחום עיקרי,תגיות,תקציר (2–3 שורות),רעיון מרכזי/חידוש,דמויות/השפעות קשורות,קישור ספוטיפיי
38,דמות,"הראבי""ה (רבי אליעזר בן יואל הלוי)",המאה ה־12,אשכנז,ימי הביניים,"תלמוד, פסיקה, מסורת","אבי העזרי, תוספות, ברכה על נרות, סובלנות הלכתית","איש שהביא גישה דיאלקטית למסורת האשכנזית, שילב חריפות עם שמירה על המנהג, וכתב את 'אבי העזרי'.","אומץ לפסוק הלכה מתוך הבנה של המנהג, שילוב חריפות אינטלקטואלית עם רגישות למציאות.","האור זרוע, המרדכי, הרא""ש",https://open.spotify.com/episode/0oglKv7NMszH0VEiXz5kUO?si=NVD7q8DaQmykqYgcbPvhTg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
39,חכם,רבי אברהם אבולעפיה,1240–לאחר 1291,"ספרד, איטליה",ימי הביניים,"קבלה נבואית, פילוסופיה","קבלת השמות, נבואה, השגה, האפיפיור, ספר יצירה","מקובל רדיקלי שפיתח דרך להשגת נבואה דרך צירופי אותיות ותרגולים, נתקל בהתנגדות חריפה.","הפיכת הקבלה לדרך שיטתית להשגה מיסטית – תודעה, שפה, נשימה ושכל פועל.","הרמב""ם, הרשב""א, החיד""א",https://open.spotify.com/episode/7msZQUuF40gc7MzEt8TGBP?si=KrFSwcIsTAeCvwOI2XJ6HA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
40,דמות,רבי מנחם המאירי,1249–1316,פרובנס,ימי הביניים,"תלמוד, הלכה, מוסר ופילוסופיה","בית הבחירה, רציונליזם, גויים בימינו, הלכה שיטתית","הוגה מבריק מפרובנס, מחבר 'בית הבחירה'. שילב פילוסופיה רציונלית ולמדנות מסודרת, ודגל בגישה מוסרית־אוניברסלית להלכה.","הבחנה בין עובדי עבודה זרה לעמים מוסריים, שיטתיות בהלכה ורגישות לפרשנות מקראית.","הרמב""ם, חכמי פרובנס",https://open.spotify.com/episode/0sf3x7eQhEBrOAR6VxdNkT?si=n05csch-Ro-_v1faq7v6hg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
41,"חכמי ישראל - הגות, הנהגה והלכה","הריטב""א – המקובל שהגן על הפילוסוף",בערך 1250–1320,ספרד,ראשונים,"הלכה, פרשנות תלמוד, הגות","ריטב""א, חידושי הריטב""א, רמב""ם, רמב""ן, מחלוקת לשם אמת","מגדולי חכמי ספרד ומחבר חידושים יסודיים. ב'ספר הזיכרון' מציג הגנה מורכבת על הרמב""ם לצד נאמנות לקבלה.","מ""ט פנים: התורה כוללת ריבוי דעות מראש; מחלוקת כדרך גילוי, לא תקלה.","הרשב""א; הרא""ה; רמב""ם; רמב""ן",https://open.spotify.com/episode/4Ao8OV05AacTbZqu6NBgea?si=W5Amlrl8SweLMAZfibe8Ew
42,דמות,המרדכי (רבי מרדכי בן הלל אשכנזי),1250–1298,אשכנז,ימי הביניים,"הלכה, פסיקה, פיוט","ספר המרדכי, תוספות, רמ""א, פיוט","פוסק מרכזי שאסף עולם שלם של הלכה אשכנזית רגע לפני שחרב. ספרו שימר את מסורת התוספות והשפיע על הרמ""א.","שילוב בין עיון למנהג, בין דקדוק לשירה, בין עומק לסדר בתקופה של משבר קיומי.","מהר""ם מרוטנבורג, הרא""ש, תלמידי מרדכי",https://open.spotify.com/episode/4TIzbEP8cp0XnScsOSVYcj?si=0WeGXJAfRX6Nf3Ss6WyZFA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
43,"חכמי ישראל - הגות, הנהגה והלכה",רבי יחיאל מפריז,1260–1268 לערך (פעיל סביב 1240),פריז,ימי הביניים,הנהגה/פולמוס/הלכה,"משפט פריז, שריפת התלמוד, הגנה ציבורית",עמד במשפט פריז (1240) נגד האשמות על התלמוד. למרות טיעוניו נשרפו 24 עגלות כתבי יד; נחשב סמל לאומץ ציבורי.,הגנה פרשנית ושיטתית על ספרות חז״ל ברגע היסטורי; השפעה תורנית דרך תלמידים וישיבה גדולה בפריז.,מהר״ם מרוטנבורג; פיוט 'שאלי שרופה באש'; שלמה שכטר (גילוי כתבים),https://open.spotify.com/episode/46MHn4vu6ORF3S4hyf9rN9?si=emke5mE1R0atmSqv8s65nA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
44,ספר,ילקוט שמעוני,המאה ה־13,אשכנז,ימי הביניים,מדרש,"דרש, אנתולוגיה, מדרשים אבודים, פסוקים, מסורת","אנתולוגיה מדרשית עצומה לפי סדר פסוקי התנ״ך, המשמרת מדרשים שאבדו. מיוחסת לרבי שמעון הדרשן.","שימור ולא חידוש – ארכיון רוחני של מחשבת חז""ל. שמירת מסורת דווקא בעידן של קריסת קהילות ורדיפות.","חז""ל, מדרש תנחומא, מדרש אבכיר",https://open.spotify.com/episode/7tKvMKCTFSZebvK2vj0U5b?si=KkwrCOkiTn-0kjc_gAvE6Q&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
45,"חכמי ישראל - הגות, הנהגה והלכה",רבי יצחק בר ששת (הריב״ש),1326–1408,ספרד → אלג׳יר,ימי הביניים המאוחרים,הלכה/הנהגה,"שו״ת הריב״ש, אנוסים, שיקום קהילה, פרעות קנ״א",תלמיד הר״ן ופוסק עליון. ברח כפליט קשיש לאלג׳יר והנהיג אלפי פליטים; שו״ת כ'יומן אנושי' של שיקום קהילה.,"פסיקה עם חמלה: מעמד האנוסים, זכויות נשים, כוח הקהל; שמירת גבולות אמוניים מול פילוסופיה כ'סכנה'.",הר״ן; רבי יוסף קארו (שולחן ערוך),https://open.spotify.com/episode/59OpwWz4UjKqH3FjomFj2o?si=rdp0-qynTeSsYETcBzWFeQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
46,"חכמי ישראל - הגות, הנהגה והלכה",הרב חסדאי קרשקש,בערך 1340–1410/11,"אראגון, ספרד",ימי הביניים המאוחרים,פילוסופיה יהודית/הלכה/הנהגה,"אור ה׳, אהבת ה׳, ביקורת אריסטו, פרעות קנ״א",מנהיג יהודי אראגון בפרעות 1391 ופילוסוף מהפכני. העמיד את האהבה במרכז ושבר יסודות אריסטוטליים.,אל אוהב ובריאה מתמדת; חופש/בחירה מול דטרמיניזם; רעיונות על חלל/אינסוף שהקדימו את המדע החדש.,הר״ן; פיקו דלה מירנדולה; שפינוזה; רבי יוסף אלבו,https://open.spotify.com/episode/2zU0Aketj3W85PjNE1z3Vb?si=Pk7On-aRRGGhb5WcmT7sBw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
47,"חכמי ישראל - הגות, הנהגה והלכה",רבי אפרים אנקווה – 'הרב הרוכב על האריה',1354–1442,תלמסאן (אלג'יריה) / ספרד–צפון אפריקה,ימי הביניים המאוחרים,"הגות, רפואה, פיוט, מנהיגות","גזירות קנ""א, תלמסאן, ניסים, שער כבוד ה', רמב""ם, פיוט","פליט גזירות קנ""א שהפך לרב העיר תלמסאן, רופא ופייטן. סביבו נקשר סיפור האריה, ובכתביו דיון על ניסים, טבע ואמונה.",חיבור בין אמונה בניסים לבין קריאה רציונלית־פילוסופית (בקו מימוני) על סדרי הטבע.,"רבי ישראל אנקווה; רמב""ם; מקובלי צפת (מסורת על הספר)",https://open.spotify.com/episode/7q3U1w91U94YzhWhEWkgSB?si=_S7R53NtShWFrJK8OKNZiA
48,"חכמי ישראל - הגות, הנהגה והלכה",רבי ישראל אלנקוה,מאה 14,טולדו (ספרד),ימי הביניים המאוחרים,מוסר/אגדה,"מנורת המאור, פרעות קנ״א, כינוס מדרשים","מחבר 'מנורת המאור' מתוך כאב הדור והפיזור הרוחני. אסף מדרשים, אגדה וזוהר למסילת מוסר חיה ונגישה.",מוסר כ'מנגינה חיה': צדקה כתיקון והצלה; תפילה כעמידה של דלות; הבניית חיים דרך סיפורים ומשלים.,הרא״ש; יהדות ספרד לאחר 1391,https://open.spotify.com/episode/7ong9XinXN1Na6aWhTzXME?si=lbiKr9SOR_6I6aDDMh5jHQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
49,"חכמי ישראל - הגות, הנהגה והלכה",הרב יצחק אבוהב,מאה 14,ספרד,ימי הביניים המאוחרים,מוסר/הדרכה לציבור,"מנורת המאור, תיקון המידות, קהל רחב","מחבר 'מנורת המאור' כספר מוסר לעם כולו – נשים, ילדים ובעלי מלאכה. שילב חז״ל, אגדה והלכה לתמונה חינוכית.",להחזיר את 'הלב' למרכז: השכל בלי מוסר אינו די; כל מצווה ומידה טובה מאירה אור פנימי.,ספרות המוסר בספרד; מסורת לימוד בבתי כנסת,https://open.spotify.com/episode/2ajjVlwvLyK2uIK53Hfeav?si=ExZ_-IItTIS8eLLBHwu3xg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
50,אישיות,רבי יצחק עראמה (בעל העקידה),1420–1494,ספרד (אראגון) → דור הגירוש,ימי הביניים,דרשנות/הגות,"זהות יהודית בסוף ספרד, פילוסופיה וקבלה, דרשות ציבור",,,,https://open.spotify.com/episode/569PKgJ66rKNm3LAxtU8Hv?si=2Q7hPpMnQ2G0K4g7BVxLQw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
51,חכם,"רבי אליהו מזרחי (הרא""ם)",1435–1526,"האימפריה העות'מאנית, קושטא",ראשית העת החדשה,"פרשנות, פסיקה, הנהגה","פירוש רש""י, חכם באשי, ספר המזרחי, קליטת מגורשי ספרד","פירושו ההגיוני והעמוק לרש""י הפך לבסיס להבנת פרשנותו, מנהיג רוחני של יהדות קושטא.","אין מילה מיותרת ברש""י – כל מילה באה לענות על שאלה מדויקת. בניית שיטה פרשנית שיטתית לרש""י.","רש""י, הרמב""ן, מהר""ל, שפתי חכמים",https://open.spotify.com/episode/3prGOsLsSDsg5gSp4qNFVk?si=nK1oeOiaTVaxE-zcpvBApQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
52,"חכמי ישראל - הגות, הנהגה והלכה","דון יצחק אברבנאל – המדינאי, הפילוסוף והפרשן שבנה גשר בין הגלות לגאולה",1437–1508,פורטוגל/ספרד/איטליה,ימי הביניים המאוחרים,"הגות, פרשנות מקרא, הנהגה","גירוש ספרד, רנסאנס, פירושי תנ""ך, משיחיות, מחשבה פוליטית","מדינאי ופרשן תנ""ך מרכזי; כתב פירושים מקיפים וספרים פילוסופיים־משיחיים מתוך חוויית גירוש ונדודים.",קריאה היסטורית־תיאולוגית של המקרא וההיסטוריה כדרך לעצב זהות ותקווה בגלות.,גולי ספרד; הרנסאנס האיטלקי; דיון על מלוכה ושלטון,https://open.spotify.com/episode/5TcOFBOg5ZWpmJzEWAE1ef?si=KE21EdSuTNuD9N_tr8puSQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
53,"חכמי ישראל - הגות, הנהגה והלכה",רבי יוסף טאיטצאק – המקובל שחזה את הציונות,1465–1546,סלוניקי (האימפריה העות'מאנית),ימי הביניים המאוחרים,"קבלה, הנהגה, משיחיות","גירוש ספרד, סלוניקי, ספר המשיב, מגיד/התגלות, שיבת ציון","ראש ישיבה ומקובל מגולי ספרד; מחבר/מקבל ה'משיב' וחוליה מרכזית בדור צפת–סלוניקי. שילב סיגוף, תודעת קץ וחזון לאומי.",תודעת גאולה פעילה וחזון שיבת ציון מתוך עולם הקבלה של גולי ספרד.,רבי יוסף קארו; רבי שלמה אלקבץ; רבי משה אלשיך; גולי ספרד; מסורות על הרצל,https://open.spotify.com/episode/2wytNryqHZzLbnhrdOWa5R?si=re_LmFw7Sj-hECTSLe4PWQ
54,אישיות,"הרדב""ז (1479–1573) – מגדולי הפוסקים: בין ספרד למצרים וארץ ישראל",1479–1573,ספרד/פורטוגל; מצרים; ארץ ישראל,ראשית העת החדשה,הלכה,"שו""ת; הנהגה; גירוש ספרד; פסיקה במציאות משתנה","הרדב""ז כפוסק-על ומנהיג: נדודים מספרד למצרים ולא""י, פסיקה מעשית בסוגיות קשות, והשפעה עצומה דרך שו""ת הרדב""ז.",גמישות הלכתית אחראית: נאמנות למסורת לצד מענה למציאות חדשה של גירוש וכלכלה.,ר' יוסף קארו; חכמי צפת; פסיקת ספרד לאחר הגירוש,https://open.spotify.com/episode/5IjkApm09lYPZJ5CqYQ33i?si=hQwYuqEWRSao3ZOdAPmV3g&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
55,חכם,"המהרש""ל (רבי שלמה לוריא)",1510–1573,"פולין, ליטא",ראשית העת החדשה,"תלמוד, הלכה, ביקורת נוסח","ים של שלמה, חכמת שלמה, רמ""א, עמל הסוגיה","פוסק ומהפכן בלימוד, התנגד ל""פלפול"" ודגל בדיוק ובחזרה למקורות. עמד מול הרמ""א במחלוקת רעיונית.","יושר הלכתי וביקורת מקורית, דקדוק קפדני ושיבה למקורות התלמודיים.","הרמ""א, תלמידי לובלין, רש""י",https://open.spotify.com/episode/77qmOPOAQ6RIlbvk9VtmFb?si=oVGKR2pUS52WL8j3CeXs-Q&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
56,דמות,רבי משה קורדובירו (הרמ״ק),1522–1570,"צפת, ארץ ישראל",ראשית העת החדשה,"קבלה, הגות, הנהגה רוחנית","קבלה, פרדס רימונים, תומר דבורה, תיקון האדם, מקובלי צפת","מהגדולים שבמקובלי צפת, שסידר את הקבלה למערכת תיאולוגית סדורה ובנה גישה מוסרית לחיקוי האל.",עיצוב שיטתי של הקבלה והפיכתה לדרך תיקון מוסרית מעשית של האדם והעולם.,"רבי שלמה אלקבץ, האר""י, מקובלי צפת",https://open.spotify.com/episode/6eeW3Kknuudy4VEELZmcof?si=up4JT39ST3aTrBpDZlfigw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
57,"חכמי ישראל - הגות, הנהגה והלכה","המהר""ל מפראג – הפילוסוף שחיבר בין השכל למסתורין",1522–1609,פראג (בוהמיה) / מרכז אירופה,ראשית העת החדשה,"הגות, פילוסופיה יהודית, חינוך","מהר""ל, אגדות חז""ל, גוף ונשמה, חינוך, גולם (מיתוס)","הוגה מרכזי שבנה שיטה כוללת על ניגודים, אחדות והבנת מדרש כעולם רעיוני. השפעתו ניכרת בחסידות ובמתנגדים.","שפה פילוסופית־מדרשית שמעניקה עומק לאגדה ולתורה, ומחנכת ללימוד מסודר ובהיר.","הגר""א (השפעות); רמח""ל; חסידות; שיח הגולם (מסורת מאוחרת)",https://open.spotify.com/episode/37eDPuFbb4oSjIRx8U8B88?si=Ism8P_AOQp-KDPtkwNHrsw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
